id,text,dept,urgent,needs_human,category,note
q001,御社の求人に興味があります。履歴書を添付します。,other,0,0,normal,spam/other
q002,大したことではないと思うのですが、他社の請求書が届きました。,billing,1,1,negation,
q003,急ぎではありませんが、請求書の宛名を変更したいです。,billing,0,0,negation,
q004,現在のプランから上位プランへ変更したいのですが、手続きを教えてください。,sales,0,0,normal,
q005,領収書の但し書きを変更してほしいです。,billing,0,0,normal,
q006,デモをお願いしたいのと、既存アカウントのエラーも見てほしいです。,sales,0,0,multi,sales+technical
q007,せいきゅうしょの金額がちがいます。かくにんおねがいします,billing,0,0,typo,
q008,請求書のPDFが開けません。,billing,0,0,boundary,billing/technical境界
q009,契約者名義を変更したいです。,billing,0,0,boundary,billing/sales境界
q010,本日15時ごろから、弊社の全ユーザーがダッシュボードにアクセスできない状況です。エラーメッセージは「503 Service Unavailable」です。弊社ではこのダッシュボードを顧客対応に使用しているため、業務に大きな影響が出ています。状況と復旧見込みを至急ご連絡ください。,technical,1,1,normal,long
q011,今契約しているプランを教えてください。,sales,0,0,boundary,sales/billing境界
q012,サービス全体がダウンしていて業務が止まっています。至急対応してください。,technical,1,1,normal,urgent
q013,領収書ほしいんだけど、どっから出せる？,billing,0,0,dialect,
q014,無料トライアルの期間を延長してもらえますか。,sales,0,0,normal,
q015,Enterprise planの見積もりをお願いします。,sales,0,0,multilingual,
q016,既存のシステムと連携できますか。Salesforceを使っています。,sales,0,0,boundary,sales/technical境界
q017,先月分の請求書の金額が契約内容と違っています。内訳を確認してもらえますか。,billing,0,0,normal,
q018,見ました,other,0,1,insufficient,
q019,SLA違反にあたると思いますので、返金と補償について協議したいです。,billing,0,1,boundary,needs_human
q020,解約手続きと、最終請求書の発行をお願いします。,sales,0,0,multi,sales+billing
q021,対応が丁寧すぎて1週間返事がありません。,other,0,1,sarcasm,
q022,特定のユーザーだけ画面が表示されません。,technical,0,0,normal,
q023,プランへんこうしたい,sales,0,0,typo,
q024,領収書をPDFで発行してほしいです。宛名は株式会社サンプルでお願いします。,billing,0,0,normal,
q025,競合サービスとの機能比較資料はありますか。,sales,0,0,normal,
q026,ユーザーを10名追加したいです。料金はどうなりますか。,sales,0,0,normal,
q027,請求書の金額、なんかおかしいねんけど見てもらえへん？,billing,0,0,dialect,
q028,管理者権限を別の人に移したいです。,technical,0,0,normal,
q029,Je voudrais un devis pour 100 utilisateurs.,sales,0,0,multilingual,
q030,担当営業の方の連絡先を教えてください。,sales,0,0,boundary,sales/other境界
q031,料金の改定はいつからですか。,billing,0,0,boundary,billing/sales境界
q032,メンテナンスの予定はありますか。,technical,0,0,normal,
q033,二重に引き落とされているようです。返金をお願いします。,billing,1,1,normal,
q034,障害で発生した損害について、法的措置を検討しています。,other,1,1,boundary,needs_human
q035,API連携の料金体系を教えてください。,sales,0,0,boundary,technical/sales境界
q036,今日が支払期限ですが、振込先口座がわかりません。,billing,1,0,normal,urgent
q037,領収書ください🙇‍♂️,billing,0,0,emoji,
q038,パスワードリセットのメールが迷惑メールにも見当たりません。,technical,0,0,normal,
q039,御社のサービスは医療情報を扱えますか。,sales,0,1,normal,
q040,解約したのに請求が来ました。,billing,1,1,boundary,sales/billing境界
q041,返金は不要です。二重請求の原因だけ教えてください。,billing,0,0,negation,
q042,退会したいです。データは全部消してください。,other,0,1,normal,
q043,プラン変更したいです✨ 手続き教えてください😊,sales,0,0,emoji,
q044,値上げのお知らせ、拝見しました。競合に乗り換えます。,sales,0,1,sarcasm,
q045,プランを変更したいのですが、その前に今月の請求がどうなるか知りたいです。,sales,0,0,multi,sales+billing
q046,2かい引き落とされてます。へんきんしてください,billing,1,1,typo,
q047,経理担当の佐藤です。来月から支払いサイトを月末締め翌月末払いに変更したいのですが、可能でしょうか。また、請求書の発行タイミングも合わせて変更いただけると助かります。,billing,0,0,normal,long
q048,素晴らしいですね、3回目の二重請求です。今回も「確認します」で終わりですか。,billing,1,1,sarcasm,
q049,導入前にデモを見せていただくことは可能でしょうか。,sales,0,0,normal,
q050,いつもお世話になっております。株式会社サンプルの田中です。先日ご提案いただいたエンタープライズプランについて社内で検討した結果、来期からの導入で進めたいと考えております。つきましては正式な見積書と契約書のひな形をお送りいただけますでしょうか。,sales,0,0,normal,long
q051,領収書の再発行と、メルマガの停止をお願いします。,billing,0,0,multi,billing+other
q052,トライアル中にエラーが出て試せません。,technical,0,0,boundary,sales/technical境界
q053,メルマガの配信を停止してください。,other,0,0,normal,
q054,こんにちは,other,0,1,insufficient,
q055,動きません,technical,0,1,insufficient,
q056,セキュリティチェックシートに記入してもらえますか。,sales,0,1,boundary,sales/technical境界
q057,これって大丈夫ですか？,other,0,1,insufficient,
q058,デモ見せてもらうことってできるっすか？,sales,0,0,dialect,
q059,支払いを銀行振込に変えたいです。,billing,0,0,normal,
q060,決済が失敗してサービスが停止されました。今日中に復旧しないと業務に支障が出ます。,billing,1,1,normal,urgent
q061,見積もりをおねがいしたいです。ゆーざー数は50めいです,sales,0,0,typo,
q062,報道機関です。先日の障害についてコメントをいただけますか。,other,1,1,boundary,needs_human
q063,見積もりをください。あと、トライアル環境で500エラーが出ています。,sales,0,0,multi,sales+technical
q064,至急,other,1,1,insufficient,
q065,有料プランに変更したのに機能が使えません。,technical,0,0,boundary,billing/technical境界
q066,画面が英語になってしまいました。日本語に戻す方法は？,technical,0,0,normal,
q067,請求書の送付先メールアドレスを変更したいです。,billing,0,0,normal,
q068,請求額が倍になってる😱 確認お願いします🙏,billing,1,0,emoji,
q069,2要素認証を全社員に強制したいです。,technical,0,0,normal,
q070,障害ではなさそうですが、たまに画面が重く感じます。急ぎません。,technical,0,0,negation,
q071,先ほど送った問い合わせは取り消してください。解決しました。,other,0,0,normal,
q072,無料プランと有料プランの違いは何ですか。,sales,0,0,normal,
q073,フリープランのままで使い続けることはできますか。,sales,0,0,normal,
